t,f1,f2
0,100,0
0.0010000000000000002,99.99500087488735,-9.997333792441381
0.0020000000000000005,99.98000733139155,-19.988670692286465
0.0029999999999999988,99.9550258644396,-29.973014821607897
0.0039999999999999975,99.92006396424651,-39.949371499389194
0.005,99.87513011506854,-49.916747340369
0.006000000000000003,99.82023379385815,-59.874150353706135
0.007000000000000005,99.7553854688206,-69.82059004145596
0.008000000000000007,99.68059659787146,-79.75507749684851
0.009000000000000001,99.59587962699672,-89.67662550235808
0.009999999999999995,99.50124798851445,-99.58424862755503
0.010999999999999989,99.39671609923899,-109.47696332673033
0.011999999999999983,99.28229935854736,-119.35378803628234
0.012999999999999977,99.15801414634863,-129.21374327185703
0.01399999999999997,99.0238778209563,-139.05585172523192
0.014999999999999965,98.87990871686378,-148.87913836093364
0.01599999999999996,98.72612614242324,-158.68263051258032
0.016999999999999953,98.5625503774288,-168.46535797893895
0.017999999999999947,98.38920267060338,-178.2263531196879
0.01899999999999994,98.2061052369899,-187.9646509508762
0.019999999999999934,98.01328125524729,-197.679289240069
0.02099999999999993,97.81075486485182,-207.36930860117036
0.021999999999999922,97.59855116320315,-217.03375258891444
0.022999999999999916,97.37669620263667,-226.6716677930151
0.02399999999999991,97.14521698734136,-236.28210393196562
0.024999999999999904,96.90414147018443,-245.86411394647797
0.025999999999999898,96.65349854944247,-255.41675409255348
0.026999999999999892,96.39331806543973,-264.9390840341757
0.027999999999999886,96.12363079709408,-274.4301669356168
0.02899999999999988,95.84446845837067,-283.88906955334585
0.029999999999999874,95.55586369464385,-293.31486232753474
0.030999999999999868,95.25785007896806,-302.7066194731483
0.03199999999999989,94.95046210825754,-312.0634190706117
0.03299999999999992,94.63373519937576,-321.3843431560468
0.03399999999999995,94.30770568513488,-330.66847781106696
0.034999999999999976,93.97241081020525,-339.91491325212365
0.036000000000000004,93.62788872693646,-349.12274391939377
0.03700000000000003,93.27417849108916,-358.29106856520133
0.03800000000000006,92.9113200574789,-367.41899034196314
0.03900000000000009,92.5393542755324,-376.50561688965155
0.04000000000000012,92.15832288475626,-385.550060422763
0.04100000000000015,91.76826851011934,-394.5514378167887
0.042000000000000176,91.36923465734861,-403.50887069417206
0.043000000000000205,90.96126570813958,-412.42148550975264
0.04400000000000023,90.54440691528119,-421.28841363568205
0.04500000000000026,90.1187043976966,-430.1087914458062
0.04600000000000029,89.68420513539917,-438.8817603995054
0.04700000000000032,89.2409569643654,-447.60646712498374
0.04800000000000035,88.78900857132464,-456.2820635020015
0.04900000000000038,88.32840948846655,-464.9077067440386
0.050000000000000405,87.8592100880664,-473.48255947988696
0.051000000000000434,87.38146157702916,-482.0057898346572
0.05200000000000046,86.89521599135307,-490.4765715101995
0.05300000000000049,86.40052619051285,-498.89408386492215
0.05400000000000052,85.89744585176348,-507.25751199300794
0.05500000000000055,85.38602946436504,-515.5660468030169
0.05600000000000058,84.8663323237295,-523.8188850958667
0.057000000000000606,84.33841052548938,-532.0152296421888
